model_id;model_desc
1;1113
2;22052
3;DA90PE1-00
4;M500-AC-1
5;100WSC-2RJ45-25S/A
6;150S5FB/00
7;170S7FB/69
8;1910Hc
9;192E258/69
10;1FA-520-0125-A
11;2013Hc
12;202EL2SB/69
13;220EW8FB/00
14;2314HF
15;4K93W
16;5000AAKX HARD DISK
17;5FD1008D
18;6135-AB1
19;720N
20;8400GS
21;920NW
22;A7000-A
23;AC100C
24;AL1917W A
25;ASPIRE 5710Z
26;Assembly
27;AT-40 Tel
28;ATX 450W
29;B100
30;Back-UPS 650VA
31;Back-UPS ES 500VA
32;BALANCE 380
33;BARACUDA
34;BCC950
35;BPN010S12N02
36;CATALYST 2960 PLUS SERIES
37;CATALYST 2960-S
38;CATALYST 3560-X
39;Cloud Storage
40;COMPACT OPTICAL MOUSE 500
41;D170Sb
42;D250AD-00
43;DA130PE1-00
44;DA180PM111
45;DA65NM130
46;DA90PE1-00
47;DAP90PS0-00
48;DEFCONCL
49;DES-1005A
50;DES-1008A
51;DES-1008D
52;DES-1016A
53;DES-1016D
54;DESKTAR
55;DIAMONDMAX 21 HARD DISK
56;DIR-600
57;DS-2AE4123T-A MINI SPEED DOME
58;DS-2CD2020F-1
59;DS-2CD2020F-I IR FIXED DOME
60;DS-2CD2021G1-I
61;DS-2CD2620F-IZS
62;DS416
63;DWL-2100AP
64;E1912Hf
65;E1914Hc
66;E2013HC
67;E2014Hc
68;E2214Hb
69;E2314Hf
70;E7440
71;EAP115
72;EH-TW650 HOME PROJECTOR
73;EQ-130
74;EXTENSION CARD
75;EZ-LABEL PRINTER KL-780
76;F250AD-00
77;F3
78;FA90PM111
79;FIREBOX M500
80;FIREBOX X1250e
81;Flatron E 194 OT – PN
82;FLATRON L1718S-BN
83;GP60N
84;GTX 1050 TI 4GT LP
85;H476C
86;H61M-DS2
87;HA65NS5-00
88;HDS725050KLA360 HARD DISK
89;HM160HC HARD DISK
90;Inspiron 15 Gaming 7577
91;Inspiron 530
92;IP4WW-12TXH-A-TEL (WH)
93;IP4WW-60D-DSS-A-Console
94;K120
95;K200
96;KB212-B
97;KX-T2371MX
98;L265AM-00
99;L300
100;LA65NM130
101; LA65NS1-00
102;LA65NS2-01
103;LA90PE1-01
104;LASERJET PRO M201dw
105;Latitude 5420
106;Latitude E4300
107;Latitude E5410
108;Latitude E5430
109;Latitude E5440
110;LATITUDE E6230
111;Latitude E6320
112;Latitude E6330
113;Latitude E6410
114;Latitude E6420
115;LED MO29UOL
116;LS19HANKBM/XSS
117;LX-300+II P170B
118;M100r
119;MC110CS
120;MC111CS
121;MO28UQ
122;MOMENTUS 7200
123;MS111-L
124;MS111-T
125;MS116T1
126;M-UV96
127;MY CLOUD
128;MY PASSPORT ULTRA
129;MYBOOK 6 TB PREMIUM STORAGE
130;N889
131;NBE-5AC-300
132;NEOGATE TA800
133;NEOGATE TA810
134;NO MODEL
135;OP-6200
136;OP-620D
137;Optiplex 3010
138;Optiplex 3020
139;Optiplex 390
140;Optiplex 790
141;OptiPlex 9020
142;Optiplex 990
143;Optiplex E5410
144;P170SB
145;P190SB
146;P2014Ht
147;P2211HT
148;PA-1900-02D2
149;P-A240-050
150;PBE-5AC-500
151;PHANTOM 3 STANDARD
152;PHANTOM 4 PRO
153;POCOPHONE GRAPHITE BLACK
154;PORTEGE T130
155;Power Edge R710 
156;PowerEdge R520
157;POWERVAULT TL1000 
158;PR02X
159;PRECISION 5820
160;Precision 5820 Tower
161;Precision T3600
162;PRO 2000 S1
163;Pro 3130 SFF
164;PS 600-AS
165;R59-0132N
166;RB750
167;SD216
168;SE2219HX
169;SF100D-08
170;SF100D-16
171;SF90D-08
172;SG105E(UN)
173;SG90D-08
174;SH-3503LMID
175;SH-3503tMID
176;SK-8825
177;SKHD-080-1B POWER SUPPLY
178;SL 1000 IP4WW-1632-ME-A EXP
179;SM-2061
180;SMART-UPS C 1500
181;SMART-UPS C 3000
182;SP C250DN
183;SP1603C HARD DISK
184;SPC-P0E1004
185;System x3200
186;T090060-2C1
187;T54FJ
188;TAB3 7 Essential
189;TH-308
190;TL-SF1008D
191;TL-SF1016D
192;TL-SG1005D
193;TL-SG1008D
194;TL-SG1016D
195;TL-SG1016D(UN)
196;TL-WN721N
197;Unifi AP AC Pro
198;Unknown
199;UV-L6576NV
200;VOSTRO 3400
201;WAP610N
202;WARIOR AX450
203;WD19
204;WF-3521
205;WK600
206;WNAP320
207;WP-4001BR
208;X163W
209;X193HQ
210;XPS M1330 M1330
